SourceID,ProductID,AvgRating,ReviewCount,SatisfiedCount,CurrentPrice
S01,P0307,0.0,0,21160,14890000
S01,P0308,0.0,0,1204,15999000
S01,P0309,0.0,0,3711,36490000
S01,P0310,0.0,0,29249,17990000
S01,P0311,0.0,0,5470,19790000
S01,P0312,0.0,0,2060,22990000
S01,P0313,0.0,0,13146,21990000
S01,P0314,0.0,0,8128,36790000
S01,P0315,0.0,0,29338,47999000
S01,P0316,0.0,0,10451,62990000
S01,P0317,0.0,0,9629,23490000
S01,P0318,0.0,0,1401,87990000
S01,P0319,0.0,0,6578,23990000
S01,P0320,0.0,0,11245,21590000
S01,P0321,0.0,0,15804,30290000
S01,P0322,0.0,0,6351,78790000
S01,P0323,0.0,0,2548,17790000
S01,P0324,0.0,0,11744,23990000
S01,P0325,0.0,0,9479,41990000
S01,P0326,0.0,0,3597,35990000
S01,P0327,0.0,0,24919,45100000
S01,P0328,0.0,0,3129,29990000
S01,P0329,0.0,0,19091,20690000
S01,P0330,0.0,0,1613,18890000
S01,P0331,0.0,0,1195,29910000
S01,P0332,0.0,0,4061,16990000
S01,P0333,0.0,0,5073,18590000
S01,P0334,0.0,0,415,39990000
S01,P0335,0.0,0,11513,13590000
S01,P0336,0.0,0,11520,20999000
S01,P0337,0.0,0,4533,66410000
S01,P0338,0.0,0,4283,35990000
S01,P0339,0.0,0,6346,12990000
S01,P0340,0.0,0,120,35690000
S01,P0341,0.0,0,1535,67786000
S01,P0342,0.0,0,16781,27190000
S01,P0343,0.0,0,10812,19790000
S01,P0344,0.0,0,1783,35990000
S01,P0345,0.0,0,906,34590000
S01,P0346,0.0,0,2701,19490000
S01,P0347,0.0,1,27424,25990000
S01,P0348,0.0,0,4441,22290000
S01,P0349,0.0,0,30013,12990000
S01,P0350,0.0,0,590,25990000
S01,P0351,0.0,0,3306,38490000
S01,P0352,0.0,0,10722,22590000
S01,P0353,0.0,0,4030,51990000
S01,P0354,0.0,0,2882,23390000
S01,P0355,0.0,0,2012,25190000
S01,P0356,0.0,0,556,62990000
S01,P0357,0.0,0,5370,23590000
S01,P0358,0.0,0,11238,44990000
S01,P0359,0.0,0,8061,24990000
S01,P0360,0.0,0,584,32490000
S01,P0361,0.0,0,11939,48990000
S01,P0362,0.0,0,1877,44190000
S01,P0363,0.0,0,2104,35630000
S01,P0364,0.0,0,8567,11990000
S01,P0365,0.0,0,6372,33090000
S01,P0366,0.0,0,12535,14590000
S01,P0367,0.0,0,3168,29800000
S01,P0368,0.0,0,5829,19590000
S01,P0369,0.0,0,15136,16990000
S01,P0370,0.0,0,1268,42120000
S01,P0371,0.0,0,1763,54537000
S01,P0372,0.0,0,256,14999000
S01,P0373,0.0,0,6652,49890000
S01,P0374,0.0,0,15700,26990000
S01,P0375,0.0,0,319,61990000
S01,P0376,0.0,0,717,86990000
S01,P0377,0.0,0,2210,26990000
S01,P0378,0.0,0,3338,23190000
S01,P0379,0.0,0,1712,27999000
S01,P0380,0.0,0,1825,16690000
S01,P0381,0.0,0,11686,20490000
S01,P0382,0.0,1,30520,18790000
S01,P0383,0.0,0,3231,46990000
S01,P0384,0.0,0,26649,21999000
S01,P0385,0.0,0,8259,32499000
S01,P0386,0.0,0,6056,37990000
S01,P0387,0.0,0,13283,22490000
S01,P0388,0.0,0,383,28590000
S01,P0389,0.0,0,1680,27190000
S01,P0390,0.0,0,5042,32990000
S01,P0391,0.0,0,1036,14690000
S01,P0392,0.0,0,11130,33450000
S01,P0393,0.0,0,21526,31990000
S01,P0394,0.0,0,8238,21990000
S01,P0395,0.0,0,5829,26390000
S01,P0396,0.0,0,1576,55990000
S01,P0397,0.0,0,1239,42767000
S01,P0398,0.0,0,7235,23690000
S01,P0399,0.0,0,3313,40990000
S01,P0400,0.0,0,1011,24790000
S01,P0401,0.0,0,5540,20390000
S01,P0402,0.0,0,2114,119000000
S01,P0403,0.0,0,3882,52990000
S01,P0404,0.0,10,40189,21590000
S01,P0405,0.0,0,575,18290000
S01,P0406,0.0,0,3532,17690000
S01,P0407,0.0,0,11904,52990000
S01,P0408,0.0,1,4483,51990000
S01,P0409,0.0,0,21893,19490000
S01,P0410,0.0,0,3142,18990000
S01,P0411,0.0,0,2682,35490000
S01,P0412,0.0,0,2150,25590000
S01,P0413,0.0,0,1530,24990000
S01,P0414,0.0,0,5845,18999000
S01,P0415,0.0,0,1068,66950000
S01,P0416,0.0,0,221,69990000
S01,P0417,0.0,0,6611,30490000
S01,P0418,0.0,0,9554,27999000
S01,P0419,0.0,0,13588,23990000
S01,P0420,0.0,0,12426,28830000
S01,P0421,0.0,1,21814,23990000
S01,P0422,0.0,0,398,22990000
S01,P0423,0.0,0,14409,54990000
S01,P0424,0.0,0,508,51510000
S01,P0425,0.0,0,5683,33890000
S01,P0426,0.0,0,8058,135890000
S01,P0427,0.0,0,10504,43990000
S01,P0428,0.0,0,3742,16790000
S01,P0429,0.0,0,14700,23790000
S01,P0430,0.0,0,13729,19990000
S01,P0431,0.0,0,7595,13590000
S01,P0432,0.0,0,4095,30490000
S01,P0433,0.0,0,1648,74999000
S01,P0434,0.0,0,711,21999000
S01,P0435,0.0,0,4223,27990000
S01,P0436,0.0,0,12495,54320000
S01,P0437,0.0,0,14346,16990000
S01,P0438,0.0,0,9505,28490000
S01,P0439,0.0,0,6274,19690000
